author,title,user_profile_link,likes,comments,collect,hot_score,collection_score,related_score,minority
乡村小表弟,收回来的黄豆个头饱满，今天煮个黄豆吃，干了三碗饭@乡村小婉 #我的乡村美食#黄豆 #农村美食 #新农人计划2023 #农村生活,https://www.douyin.com/user/MS4wLjABAAAAjeKpm_mz-xVE71hstcrNyDvbWmPPtO2ONU6ZCFXHM-QprqvtS4R3HzoMxhYVVYUJ,28180,7322,6848,0.001056671142578125,0.002521514892578125,0.0005421638488769531,0
毛驴小五郎,"蛇蝎人妻，把丈夫抛尸地窖
若不是情人被其淫威吓到，此案可能会永远沉寂
#真实案件改编 #真实故事 #案件解说",https://www.douyin.com/user/MS4wLjABAAAA30-P3ePmXbwlUSyZZuBnzse4jSdl73m-BYHbw8rp9cQ,4724,304,2084,0.001506805419921875,0.0037212371826171875,0.0004565715789794922,0
天王追剧,最火爆的韩国恋综全新上映 #单身即地狱第三季 #恋综,https://www.douyin.com/user/MS4wLjABAAAA3HyIgnzQJNSwe-rozfXm_cPf50bEPfouUlk6wlPQcQEgijzHyTzj6zAt6s0KRaXz,11835,500,2328,0.0005550384521484375,0.00243377685546875,0.0006589889526367188,0
野钓长空,钓鱼佬就这样，平淡中又有点小期待#钓鱼 #钓鱼人 #老坛维它米 ,https://www.douyin.com/user/MS4wLjABAAAAWSRKsUwdEJsj8Y-EVCcO2rG1KyoxHUWx30d-ZeACntE,16908,1306,560,0.00250244140625,0.0020580291748046875,0.0007014274597167969,0
亦橙影视,湾仔枪神的称号让嚣张的生番听了都害怕。#经典港片 #郑伊健 #陈小春,https://www.douyin.com/user/MS4wLjABAAAAyEsBwgZNuca6Ivg1ZuauzsAITl55z-BQiMjAHgzmFyU,4107,383,311,0.0023784637451171875,0.00955963134765625,0.0007977485656738281,0
晚安驴宝,#普法小剧场  #出租车,https://www.douyin.com/user/MS4wLjABAAAAT6RyHAwAvgGHca9oKzAJfrcJsJGs9TKJQ5se65nR1eFN_C1BMH2C7kIR4LwNPmr-,3064,536,414,0.00131988525390625,0.0029582977294921875,0.0004029273986816406,0
搞笑合集,校运会社死瞬间 换一个星球生活吧 #看一遍笑一遍 #运动会 #社死现场 #运动会名场面 #校园社死现场,https://www.douyin.com/user/MS4wLjABAAAASbMnpMaHjLjDbBboZfza2yo0VRdE3RGQ3htOMAXRfB7ot_jpe2pBP43rjfgmou56,456929,44199,48304,0.0006117820739746094,0.0012254714965820312,0.0007824897766113281,0
傻瓜象棋,象棋，史上最邪门的沿河72打，斩尽杀绝#象棋直播 #中国象棋 #象棋 #喜欢象棋关注我 #下棋 ,https://www.douyin.com/user/MS4wLjABAAAAmCmsmLaZ6S_bhRWVpXQjpadxkjcA-o2Q6dSR9xrAO97wz1nMiVPTAaQifWrlsPV_,10841,602,5634,0.0020751953125,0.00734710693359375,0.0006313323974609375,0
卡蜜尔,,https://www.douyin.com/user/MS4wLjABAAAAWh6G0HQZ6_z0s2LEwTZW8KC1qzStM8Z-acrMaYdgxfYJm4ztqK7WgTguMCBCQ2tY,127229,1757,9439,0.0015916824340820312,0.00919342041015625,0.0008263587951660156,0
木安说动漫,“真人觉醒黑闪 虎杖最铁的兄弟东堂闪亮登场” #动漫解说 #这个视频破次元 #充能计划 #咒术回战,https://www.douyin.com/user/MS4wLjABAAAAac4yMAmgDe3eYvI3mwoFfg6W_-bNTvuc5YsAGoo-yaA,102749,1965,10324,0.001949310302734375,0.0037078857421875,0.00031495094299316406,0
玖月侃剧,塔寨1.5吨货被查 塔寨面临前所未有危机 #刑侦  #好剧推荐  #我的观影报告 ,https://www.douyin.com/user/MS4wLjABAAAAAXz7y_ddDOrjZFT_6U6de0hy4eHDc7bD2KzM3093wY4,20384,231,2772,0.0011157989501953125,0.00250244140625,0.00046563148498535156,0
欢乐喜剧人,文松宋晓峰大闹舞台，拉都拉不开，场面太热闹。#搞笑 #爆笑 #专治不开心 #欢乐喜剧人 #哈哈哈娱乐一下😂😂😂,https://www.douyin.com/user/MS4wLjABAAAAX01EIbrLJ0t2GUFHoUCSy5dTay31pYChAKanzUPj1Sc,83467,1630,10680,0.0010404586791992188,0.0011339187622070312,0.0005397796630859375,0
格斗会,韩国恶女当众暴打中国姑娘，张伟丽杀入韩国找她算账，乱拳打废她,https://www.douyin.com/user/MS4wLjABAAAAnFBGznsetyKgm8UmzbyI_K5dTXy9t_jmkTDRdz2zIHQhdMv9qI6iZMUp78gp05CL,9326,138,1439,0.0016231536865234375,0.0041351318359375,0.0004711151123046875,0
红颜剧场,国士无双 #天桥短剧,https://www.douyin.com/user/MS4wLjABAAAAgzuAf1vvL5ovUldhplXszVpRjrkdg37g95AgiPQk-o1nqtK7z9OzVYiHUf0STjKx,18034,248,5979,0.0017414093017578125,0.01525115966796875,0.002620697021484375,0
闲不住的阿俊,#这东北你就去吧 带父母来东北旅行，这路途虽冷，但真的很暖人心，我们感受到了北方人似火的热情与融洽～,https://www.douyin.com/user/MS4wLjABAAAAscWzqwRyaul4ixlQELVh_4W19DfXPU2H0A7wEvEJ42s,429600,24676,13701,0.0001609325408935547,0.0002453327178955078,0.00006014108657836914,0
奇闻调查室,中国最强九大悍匪，各个手段毒辣凶残，白宝山也只能垫底！ #悍匪  #普法  #盘点 ,https://www.douyin.com/user/MS4wLjABAAAAdJR4NDfY70TD2iVwlsz41rcqkUaKOPcoDsySajJDboFg_pid11lo0ai_ALU7meP0,2432,100,492,0.0011339187622070312,0.002216339111328125,0.00042057037353515625,0
晚安姐姐（每晚6点直播）,当晚安的三水门遇到三大区标小南，谁会更胜一筹呢？看到最后，细节博弈绝对惊艳到你！,https://www.douyin.com/user/MS4wLjABAAAAqoyHWSa28DI1dG8NFjbBWRjoj3uxdqEwrV1SGJeCVSo,101751,1266,2790,0.0032596588134765625,0.005039215087890625,0.0006880760192871094,0
驴大脑袋,四川巴中--绝望的恋人#大案纪实 #大案纪实故事,https://www.douyin.com/user/MS4wLjABAAAAPzT4aaYf_QHdrox3uwke1FFnTmigsntkAQMc2PHUKYcJSyPia8ObRYtR3SaSzf2n,20495,3085,3473,0.0008425712585449219,0.0010404586791992188,0.00023233890533447266,0
解清栋,这个视频实在是忍不住要发出去，昨天都是我做的饭，结果就让我吃白萝不，还让我拿个小盘，站着吃饭，兄弟们，你们说这公平吗？#美食vlog #解清帅 #会下厨的男人 #记录真实生活 #上得厅堂下得厨房 @解清帅 @解清栋媳妇 @卖商砼的小胖子～ @瓜子菠萝小苹果 @河北邢台寻子成功 解清帅妈妈,https://www.douyin.com/user/MS4wLjABAAAAzKI59M2EOOlX4I5-AqAyUXrc_ZLXcQpyRGiTubqWw4Y,184321,16643,8030,0.0006046295166015625,0.001674652099609375,0.0003380775451660156,0
何小凤（收徒）,#上热门 #鱼峰山公园山歌对唱 桂林秀才一来就聊得三妹成双了，高手#山歌热门推送 #现场编歌 #喜欢我们的点点关注呀。,https://www.douyin.com/user/MS4wLjABAAAACp4bL7_dhtYr6OP9PIOVMuD7CcJ0erauWaw32fjXpjmT7sTifMiafm52rzzxJkn2,60981,2684,10406,0.00206756591796875,0.0032863616943359375,0.0010366439819335938,1
浅言说剧,第1集|男子只是欠了他们20万，就被送进来碎石机碎成了渣渣，新上映的电影。#吕良伟#我的观影报告 #疾速反击,https://www.douyin.com/user/MS4wLjABAAAATguDFhp0IvFhhz5gnwQGMBdjkQgb6h3ZO-PwAbPup5Fq292b4NMbQPRoeQjqMAws,6061,63,1540,0.0014896392822265625,0.00269317626953125,0.0013456344604492188,0
茶如人生,#户外捕鱼 #真实户外,https://www.douyin.com/user/MS4wLjABAAAA-SVTm7V9Oo35osSQ_P8jfE4phHGdZ_w27-nbFXEtK9N9-Re_bR1doeFTilIv0ZqH,4541,131,1347,0.0036220550537109375,0.013275146484375,0.0014495849609375,0
胖龙的小生活,胖龙带儿子吃烩面，吃着回忆着小时候干的傻事 #烩面 ,https://www.douyin.com/user/MS4wLjABAAAASaGVcuBvGtOQl-bvN4V5GcI73rIB3kV4bl6lggGMsyI,23896,769,733,0.0013666152954101562,0.0036220550537109375,0.0005931854248046875,0
备备说历史,林冲本可以冲上城墙报仇雪恨，却因为自己的软弱错失机会！ #新水浒传 #林冲杀高俅 #豹子头林冲,https://www.douyin.com/user/MS4wLjABAAAAsSTjWfi_7ac38o33u6agq_LE0PYRrHCcRzgH_WgTdB8,9237,239,2148,0.0006070137023925781,0.0015125274658203125,0.0003769397735595703,0
黄潇（路亚钓鱼第一视角）,一镜到底盘老板。 秋冬季钓翘嘴，节奏慢一点，刷新老板的认知。#原来钓鱼才是抖音运动顶流 #在冬日阳光下钓个鱼吧,https://www.douyin.com/user/MS4wLjABAAAAi6lRJ3SGisqApcjXB1KmPQ6O55rRZiZopDWBeR1f5kY,35835,1347,11652,0.0011243820190429688,0.0005211830139160156,0.0006237030029296875,0
舌尖美食大全,叉烧包：粤式点心泰斗陈勋，展示最正宗的叉烧包做法！#舌尖上的美食 #地方特色美食 #叉烧包#寻找老广味道 #饮食文化,https://www.douyin.com/user/MS4wLjABAAAAkbKy5X25FGoJr8R_dwCWS1zC52rXbP5RyQd8u6iF1Hnge-xn-GmJ47rNPFLE1t_g,14340,496,1103,0.00075531005859375,0.0012493133544921875,0.0003542900085449219,0
老驴一笑,女孩在家中失踪，除此之外行李箱也不见了，调查发现事情没那么简单#大案纪实 #根据真实故事改编 #我的观影报告 #真实事件,https://www.douyin.com/user/MS4wLjABAAAAnkVRwOiQjJaemwu_Q-T3TBZS-8eK3M1yUULXn2z2A_4,138578,24032,15587,0.0015249252319335938,0.004756927490234375,0.00023412704467773438,0
阿白（主播精彩对局）,co老师偶遇理香#coke #理香 #火影忍者手游,https://www.douyin.com/user/MS4wLjABAAAAd25aolT8blphKKre4i_YdqA-QBkahcU2-ho2ft2c7-wRqkztldz3vn-w8CqomrwC,184736,5377,7165,0.0015010833740234375,0.003337860107421875,0.0002551078796386719,0
高清剪影员,一部尘封多年的大胆题材电影，非常值得一看~点击上方（红色按钮）可免费看完整版 #悬疑 #好剧推荐,https://www.douyin.com/user/MS4wLjABAAAAgZrKYW3RShKlmlmXE6h5fT_uXKkr0WfKNhyCMb1E7g0,17873,4676,3287,0.0015363693237304688,0.0038089752197265625,0.00051116943359375,0
荒野行动中,男人在荒野独居五年，今天又到了收获的时候了。#野外生存 #野外建造 #荒野求生,https://www.douyin.com/user/MS4wLjABAAAAYTltGaCBxGOhVtdQaquwF-TmRIi4DArM2Nb3iHR2_z1w6g4vOf9rqgjh5G6Yb_8O,10356,269,1233,0.0012159347534179688,0.003551483154296875,0.0006070137023925781,0
老牛说案,这是一次近乎完美的犯罪，看警方如何破案，缉拿真凶。#真实案件记录 #大案纪实 #刑侦纪实 #讲述大案纪实故事 #刑侦档案,https://www.douyin.com/user/MS4wLjABAAAAzzh3Rgb6XtUR-xEndDS2bzVUmWA5W-Oc7EC3sCO6V4CYywom_I38Yzo-AG_yNcJK,8499,557,1592,0.0018033981323242188,0.003185272216796875,0.0005359649658203125,0
清蒸🐟,一生一世很长 姑娘不可当真,https://www.douyin.com/user/MS4wLjABAAAAuxTA4HbwfaPzt1ndsaqDMJKfGo8ygzyL-NabSKVayf8tmfnWTBHq9agqy3LFrd7I,1789101,97749,122360,0.0008168220520019531,0.0038394927978515625,0.0006718635559082031,0
C维游戏解说,SCUM荒野求生掏空了神秘山洞，带着一车军火前往危险区域！ #游戏#游戏梦想家计划2.0 ,https://www.douyin.com/user/MS4wLjABAAAAAe4YefHiSTsdYtzT2cAYDa4fWKCB4PAVUOokrtDCIJwWQfibF3K2FZmJd05Y1cvG,270240,5773,22806,0.0015974044799804688,0.004329681396484375,0.0004992485046386719,0
熊六（坑神）,骗你的，其实那天我没开挂,https://www.douyin.com/user/MS4wLjABAAAAJy8ap1pJEUE84OAGlBa_DA04SazgHndpDiHAbjAo474,40240,4515,2339,0.0015735626220703125,0.004314422607421875,0.0006771087646484375,0
放逐大帝,蛮王41分推的思路！ #lol #蛮王 #四一分推 #偷家 #搞笑,https://www.douyin.com/user/MS4wLjABAAAA2ZDYvFjky1LpTrBgr09QXj1YNxF_5rE6Uf9b9UffK_I,25717,479,1282,0.0022335052490234375,0.0008897781372070312,0.0008559226989746094,0
海宝聊漫,049单挑收容所全体生物，096居然被秒杀#收容所 #收容物#转转,https://www.douyin.com/user/MS4wLjABAAAAHgFofR6Ja3S36rLRaphwHjYGXQFCkpa4ghNYhhIe8JbIt81KMvNbnsBzEABtIKek,89828,2222,36232,0.00206756591796875,0.007289886474609375,0.0006046295166015625,0
农村小丽,农村搞笑：美女对付奸商破烂佬。 #农村搞笑 #奸商 #破烂佬搞笑视频 #乡村搞笑视频 #美女,https://www.douyin.com/user/MS4wLjABAAAAjY0jUW_VOs3fMyTxa4pkNrlkUIL7CoHX3S-7HXeNNZPCy78AWFgPnOFM-wnSHCgu,5633,106,2411,0.0018672943115234375,0.0009622573852539062,0.0005011558532714844,0
多恩,麻麻最爱喝的酸奶饮料🥤#萌宠出道计划 #拉布拉多 #傻狗的日常 #妈呀太香了 #狗狗,https://www.douyin.com/user/MS4wLjABAAAA7Mqv3t2yqrhPjaNQkpa2ywnbwVkf5xvZx80p4QGbCxs,84490,8089,33082,0.0011339187622070312,0.005199432373046875,0.0006513595581054688,0
保安队长牛战士,湖北狠人，90后恶魔 #普法小剧场 #刑侦纪实 #大案解说,https://www.douyin.com/user/MS4wLjABAAAAuvu9DffYGsR3AuNEGZB0zW_qHmhdXAL2oNNBfcJA-yYAKhn_zWhF82Rb9tBmDFyp,13968,676,3281,0.001361846923828125,0.0012998580932617188,0.0003380775451660156,0
JOKer555555,卡塔赫纳的晚上，行人都感觉很幸福很开心的样子,https://www.douyin.com/user/MS4wLjABAAAAw0BMuL3z7PA6lMivm6BiF5V65RKdY_H1QFlc4B0FjKrwwklIIt79X9P7yNv95WBb,20109,1294,3738,0.0010862350463867188,0.00714874267578125,0.0009326934814453125,0
荒野探索号,前往无人荒岛求生，碳烤龙虾，巨型扳机鱼，肥美烤肉！ #荒野求生 #野外生存 #纪录片解说,https://www.douyin.com/user/MS4wLjABAAAA0Uz2vKrrmV2MGIgKycdJxjw_Fo7CpwNaU5hV3Zg-2zs,69947,1245,6715,0.0012111663818359375,0.01812744140625,0.00080108642578125,0
楚新钓,第二十四集：经常钓千斤大鱼的钓鱼佬们都知道，钓鱼靠的是技术 #原创动画 #钓鱼佬 #钓鱼动画,https://www.douyin.com/user/MS4wLjABAAAAShPDui4jT63haBEolNbHB-ZRj1_3MWuzuPdvB7m66MWNQP5W31lbn1lbR08KawBd,76388,1434,11811,0.0018672943115234375,0.0035800933837890625,0.0009851455688476562,0
小不溜恒,沉淀,https://www.douyin.com/user/MS4wLjABAAAAd-r_4yg3RH0mXdE2ApI7qDw9OP63F2Oa3J84xefN5ucUM-XGAyNt-UbdEYPFF_W5,18355,295,201,0.0029468536376953125,0.004848480224609375,0.0007352828979492188,0
大表哥小飞哥（酸菜鱼）,花100块在水库旁边挖泥巴，里面竟然还有那么多... #三农 #户外 #新农人计划2022,https://www.douyin.com/user/MS4wLjABAAAATHHDFqJGQ0xVvjqIhokaa7vvO6BW4J31pYONs_S0DH1AKCMK7aypRJkv3T5Km_7l,6289,136,1971,0.0029468536376953125,0.00757598876953125,0.0005617141723632812,0
过渡^,"《高 音 是 你 的 谎 言》
#百看不厌 #高音哥 #过渡的剪辑小tips",https://www.douyin.com/user/MS4wLjABAAAAocY5pjJO6D73Zx4MwFF7mHkwDPUZIEqRVGaGvDhXXog,49819,1984,2695,0.0011739730834960938,0.0006566047668457031,0.0002415180206298828,0
冷不丁说动漫,一口气看完功夫熊猫三部曲，好看到根本停不下来#功夫熊猫 #治愈系动画,https://www.douyin.com/user/MS4wLjABAAAAWAaTXkWsIEqQXJW48P5-cZ4ToP9HssrveQDYR6IJ9uKov052AKgNzBJX1iEDRdBU,24226,693,4059,0.001155853271484375,0.00313568115234375,0.0007123947143554688,0
PDX大星动画,百战水门VS宇智波斑  #火影手游 #百战水门 #宇智波 #热血 #高潮,https://www.douyin.com/user/MS4wLjABAAAA5pvUZL2FHwCSX223nA62N6ZUSk9ovAdO1bVCJv9Adt0,61580,3877,5107,0.00154876708984375,0.001201629638671875,0.0005860328674316406,0
金殿音乐,歌曲推荐‖岳云鹏《西楼儿女》#音乐分享 #每日好歌好曲分享 #歌单种草计划  #西楼儿女 #岳云鹏,https://www.douyin.com/user/MS4wLjABAAAAgCD3tdnHacqEBCU8IrvhZA0WOLfzIMpZpVuhxSaFwts,37772,4668,16642,0.0012445449829101562,0.001178741455078125,0.0005192756652832031,0
东北雨姐,起蛤蟆塘#新农人计划2023 #记录我的农村生活 #农村美食 雨姐带大家了解东北日常生活，讲述当地民俗风情！,https://www.douyin.com/user/MS4wLjABAAAATOBMmLZvb0HxbtqKDfyCIZTuglI68TaDEzgoBhswrCU,2521558,238742,144073,0.0007319450378417969,0.0018243789672851562,0.00047850608825683594,0
尘言纪事,山东兰陵：假军人擅闯公安#真实案件 #案件纪实 #普法小剧场,https://www.douyin.com/user/MS4wLjABAAAAQnXdbbMVCUzjVeLkrTgXaunIlGhjpZw82pOACzHK3LLXT0xTT78nQRHbZdATtsZx,2269,118,242,0.0016613006591796875,0.0012159347534179688,0.0003514289855957031,0
